Id;Band;Title;Cover;plays;Spotify;Albums;;;;;;;;
66;Snow Patrol ; Chasing Cars;http://userserve-ak.last.fm/serve/126/53585633.png;9686210;0mdRaKSntX33rc4yzLNR7V;http://www.lastfm.it//music/Snow+Patrol/Eyes+Open;http://www.lastfm.it//music/Snow+Patrol/Up+to+Now;http://www.lastfm.it//music/Snow+Patrol/Chasing+Cars;http://www.lastfm.it//music/Snow+Patrol/Signal+Fire;;;;;
67;Justin Timberlake ; True Blood;http://userserve-ak.last.fm/serve/126/93401945.png;176518;05TYHGWhNDahRldgPSprQK;http://www.lastfm.it//music/Justin+Timberlake/The+20%2F20+Experience+-+2+of+2;http://www.lastfm.it//music/Justin+Timberlake/The+20%2F20+Experience+-+The+Complete+Experience;http://www.lastfm.it//music/Justin+Timberlake/The+20%2F20+Experience+-+2+of+2+(Deluxe);http://www.lastfm.it//music/Justin+Timberlake/The+20%2F20+Experience+2+of+2;;;;;
68;fun. ; Some Nights;http://userserve-ak.last.fm/serve/126/94273513.png;3699730;0GOYVWw543eaReGmnTjojy;http://www.lastfm.it//music/fun./Some+Nights;http://www.lastfm.it//music/fun./iTunes+Session;http://www.lastfm.it//music/fun./Before+Shane+Went+To+Bangkok:+FUN.+Live+In+The+USA;http://www.lastfm.it//music/Various+Artists/Bravo+Hits+80;;;;;
69;Coldplay ; The Scientist;http://userserve-ak.last.fm/serve/126/88463753.png;11846115;0GSSsT9szp0rJkBrYkzy6s;http://www.lastfm.it//music/Coldplay/A+Rush+of+Blood+to+the+Head;http://www.lastfm.it//music/Coldplay/2005-07-13:+Peazza+Grande+Locarno,+Italy;http://www.lastfm.it//music/Coldplay/The+Scientist;http://www.lastfm.it//music/Coldplay/2005:+Coachella,+CA,+USA;;;;;
70;Justin Timberlake ; TKO;http://userserve-ak.last.fm/serve/126/93401945.png;492711;1yrQdhyz3Hc1818n5HTuw1;http://www.lastfm.it//music/Justin+Timberlake/The+20%2F20+Experience+-+2+of+2;http://www.lastfm.it//music/Justin+Timberlake/The+20%2F20+Experience+-+The+Complete+Experience;http://www.lastfm.it//music/Justin+Timberlake/The+20%2F20+Experience+-+2+of+2+(Deluxe);http://www.lastfm.it//music/Justin+Timberlake/TKO;;;;;
71;Swedish House Mafia ; Don't You Worry Child (Radio Edit) [feat. John Martin];http://userserve-ak.last.fm/serve/126/87181837.png;2062704;043bfUkTydw0xJ5JjOT91w;http://www.lastfm.it//music/Swedish+House+Mafia/Don%27t+You+Worry+Child+(Radio+Edit)+%5Bfeat.+John+Martin%5D;http://www.lastfm.it//music/Swedish+House+Mafia/Don%27t+You+Worry+Child+(feat.+John+Martin);http://www.lastfm.it//music/Swedish+House+Mafia/Until+Now;http://www.lastfm.it//music/Swedish+House+Mafia/Until+Now+(Deluxe+Version);;;;;
72;Muse ; Supermassive Black Hole;http://userserve-ak.last.fm/serve/126/88400305.png;12685116;1cT75BiKONxf6k8RSvfoGO;http://www.lastfm.it//music/Muse/Black+Holes+and+Revelations;http://www.lastfm.it//music/Muse/Black+Holes+&+Revelations;http://www.lastfm.it//music/Muse/Supermassive+Black+Hole;http://www.lastfm.it//music/Muse/Greatest+Hits;;;;;
73;Robin Thicke ; Blurred Lines (feat. T.I. & Pharrell);http://cdn.last.fm/flatness/responsive/2/noimage/default_album_140_g2.png;495148;2iJHtPUOv55jxkRDXQ1ldW;0;;;;;;;;
74;Clean Bandit ; Rather Be;http://cdn.last.fm/flatness/responsive/2/noimage/default_album_140_g2.png;82720;0TVV2gFROJaB3kIZyCUvIY;0;;;;;;;;
75;Muse ; Knights of Cydonia;http://userserve-ak.last.fm/serve/126/88400305.png;8221933;0A5RHEjtrDchA1mo0lKpGB;http://www.lastfm.it//music/Muse/Black+Holes+and+Revelations;http://www.lastfm.it//music/Muse/Black+Holes+&+Revelations;http://www.lastfm.it//music/Muse/Knights+of+Cydonia;http://www.lastfm.it//music/Muse/Live+At+Rome+Olympic+Stadium;;;;;
76;Katy Perry ; Roar;http://userserve-ak.last.fm/serve/126/98230957.png;3658299;0gozceJkgJ4khnfWTh9Iqz;http://www.lastfm.it//music/Katy+Perry/PRISM;http://www.lastfm.it//music/Katy+Perry/Roar;http://www.lastfm.it//music/Katy+Perry/PRISM+(Deluxe);http://www.lastfm.it//music/Various+Artists/Now+That%27s+What+I+Call+Music!+48;;;;;
77;Icona Pop ; Girlfriend;http://userserve-ak.last.fm/serve/126/91898885.png;308554;0KU8WABfa3LWyBlm24pFgg;http://www.lastfm.it//music/Icona+Pop/This+Is...+Icona+Pop;http://www.lastfm.it//music/Icona+Pop/Girlfriend;http://www.lastfm.it//music/Icona+Pop/Icona+Pop+Sampler;http://www.lastfm.it//music/Various+Artists/Absolute+Dance+Summer+2013;;;;;
78;Martin Garrix & Jay Hardway ; Wizard (Original Mix);http://cdn.last.fm/flatness/responsive/2/noimage/default_album_140_g2.png;18600;0jMtCG87XTkaSIdmL58hDe;http://www.lastfm.it//music/Mastermix/Pro+Dance+75;http://www.lastfm.it//music/Various+Artists/Kontor:+Top+of+the+Clubs,+Volume+62;;;;;;;
