Id;Title;Front_cover;Genre;Platforms;Developer;Games_related;;;;;;;;
67;Valiant Hearts: The Great War;http://assets1.ignimgs.com/2013/09/10/valheartsps3jpg-883296_160h.jpg;Puzzle;PS3 PC Xbox 360 Xbox One;Ubisoft;The Unfinished Swan;Quantum Conundrum;Closure;Grand Theft Auto V;Middle-earth: Shadow of Mordor;Assassin's Creed III;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster
68;Sid Meier's Civilization: Beyond Earth;http://assets2.ignimgs.com/2014/04/12/civilization-beyond-earth-generaljpg-0a64e3_160h.jpg;Simulation;PC Linux Mac;2K;SimCity;The Sims 3: Supernatural;The Sims 3;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
69;Titan Invasion;http://assets2.ignimgs.com/2014/02/19/titan-invasion-buttonjpg-5cc678_160h.jpg;Action;Vita PS3 PS4;Curve;Ys: Memories of Celceta;Assassin's Creed III: Liberation;Uncharted: Golden Abyss;Borderlands 2;Tearaway;Ys: Memories of Celceta;;;
70;The Witness;http://media.ign.com/games/image/object/023/023512/The-Witness_PS4-Gameboxart_160h.jpg;Puzzle;PS4 iPad PC;TBA;Valiant Hearts: The Great War;Never Alone;Road Not Taken;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
71;A Bug's Life -- Active Play;http://pcmedia.ign.com/pc/image/object/854/854384/649127boxart_160h.jpg;Adventure;PC;Disney;Thief;Daylight;Murdered: Soul Suspect;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
72;The Legend of Zelda: Phantom Hourglass;http://dsmedia.ign.com/ds/image/object/694/694756/HourglassFinalBoxboxart_160h.jpg;Action;NDS;Nintendo;The Legend of Zelda: Spirit Tracks;Kingdom Hearts 358/2 Days;Kingdom Hearts: Re:coded;The Legend of Zelda: Spirit Tracks;Metroid Prime: Hunters;Castlevania: Dawn of Sorrow;Pokemon Black Version 2;Pokemon Conquest;Pokemon White Version 2
73;The Evil Within;http://assets1.ignimgs.com/2014/04/14/the-evil-within-us-rp-xonejpg-e32af4_160h.jpg;Adventure;Xbox One Xbox 360 PS4 PS3;Bethesda;Murdered: Soul Suspect;Below;Sherlock Holmes: Crimes & Punishments;Halo 5: Guardians;Titanfall;Killer Instinct;;;
74;A Bug's Life Activity Centre;;Productivity;PC;Sony;Project Spark;The Bard's Tale Construction Set;Pokemon: Project Studio -- Blue Version;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
75;Never Alone;http://assets1.ignimgs.com/2014/05/08/never-alone-button-02jpg-a2a2be_160h.jpg;Puzzle;PS4 Xbox One PC;Upper;Valiant Hearts: The Great War;The Witness;Road Not Taken;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
76;A Business Tycoon;;Strategy;iPhone;SherylApps;Great Big War Game;Hero Academy;Fieldrunners 2;Disney Infinity: Marvel Super Heroes -- Toy Box;Tales from the Borderlands;Modern Combat 5;;;
77;Tom Clancy's The Division;http://assets1.ignimgs.com/2013/06/13/tom-clancys-the-divisiongeneraljpg-50eafd_160h.jpg;Shooter;PS4 Xbox One PC;Ubisoft;Far Cry 4;Wolfenstein: The New Order;Destiny;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
78;The Legend of Zelda: Spirit Tracks;http://wirelessmedia.ign.com/wireless/image/object/143/14333936/zelda_ds_spirit_track_esrbboxart_160h.jpg;Action;NDS;Nintendo;The Legend of Zelda: Phantom Hourglass;Kingdom Hearts 358/2 Days;Kingdom Hearts: Re:coded;The Legend of Zelda: Phantom Hourglass;Metroid Prime: Hunters;Castlevania: Dawn of Sorrow;Pokemon Black Version 2;Pokemon Conquest;Pokemon White Version 2
79;A Case for Cap & Co.;http://media.gamestats.com/gg/image/ACaseForCap_PCBOX_20041015boxart_160h.jpg;Adventure;Mac PC;Viva;Among the Sleep;Oddworld: New 'n' Tasty;The Walking Dead: The Game -- Episode 3: Long Road Ahead;Tomb Raider;Tales from the Borderlands;Among the Sleep;;;
