Id;Title;Front_cover;Genre;Platforms;Developer;Games_related;;;;;;;;
6155;Arcade Pool;;Sports;PC Amiga CD32;Team17;The Golf Club;FIFA Soccer 13;Pro Evolution Soccer 2013;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
6156;Super Volleyball;http://codesmedia.ign.com/codes/image/object/006/006614/607618boxart_160h.jpg;Sports;Gen TG16 PS2;Video;NHL '94;Madden NFL '94;NBA Jam [1994];Sonic the Hedgehog 2;Shining Force II;Sonic the Hedgehog [1991];;;
6157;Gods;http://codesmedia.ign.com/codes/image/object/006/006471/605535boxart_160h.jpg;Platformer;Gen SNES GBA PC;Mindscape;Sonic the Hedgehog 2;Sonic the Hedgehog [1991];Sonic & Knuckles;Sonic the Hedgehog 2;Shining Force II;Sonic the Hedgehog [1991];;;
6158;Arcade Pool;;Sports;CD32 Amiga PC;Team17;Sensible Soccer;Summer Olympix;John Barnes European Football;UFO: Enemy Unknown;Sabre Team;Mean Arenas;;;
6159;Mega Man & Bass;http://pocketmedia.ign.com/pocket/image/object/487/487461/640550boxart_160h.jpg;Action;GBA SNES WS;Capcom;The Legend of Zelda: The Minish Cap;Metroid Fusion;Dragon Ball Z: The Legacy of Goku;Pokemon Emerald Version;Pokemon Ruby Version;Pokemon FireRed Version;;;
6160;Oretachi Game Center: Super Volleyball;http://media.gamestats.com/gg/image/object/764/764384/gesenvolleball_pdsjpboxboxart_160h.jpg;Action;PS2 TG16 Gen;Hamster;God of War;Kingdom Hearts;Grand Theft Auto: San Andreas;God of War;Kingdom Hearts;Grand Theft Auto: San Andreas;;;
6161;Megafortress;;Flight;Amiga PC;Mindscape;Mega Fortress;F/A-18 Intercepter;Thunderhawk AH-73M;Mega Fortress;Paris-Dakar;Ultimate Soccer Manager;The Killing Game Show;Monty Python's Flying Circus: The Computer Game;Midwinter
6162;GBAGI;;Other;GBA;Unknown;Star Communicator;Gods;C2 Engine Project [untitled];Pokemon Emerald Version;Pokemon Ruby Version;Pokemon FireRed Version;;;
6163;Mega Man & Bass;;Action;SNES GBA WS;Capcom;The Legend of Zelda: A Link to the Past;Chrono Trigger;Super Metroid;Super Mario World;The Legend of Zelda: A Link to the Past;Super Mario Kart;;;
6164;Mega Fortress;;Flight;Amiga;Mindscape;Megafortress;F/A-18 Intercepter;Thunderhawk AH-73M;Megafortress;Paris-Dakar;Ultimate Soccer Manager;The Killing Game Show;Monty Python's Flying Circus: The Computer Game;Midwinter
6165;California Games (Kixx Legends);;Sports;CPC;U.S.;Gary Lineker's Superstar Soccer;Cup Football;Football Manager;The Vindicator;Death Stalker;1942;;;
6166;The Seven Cities of Gold;;Adventure;Amiga 400/800 PC Apple-II;Electronic;ISHAR 2;Chrono Quest;Deja Vu II: Lost in Las Vegas;The Killing Game Show;Monty Python's Flying Circus: The Computer Game;Midwinter;;;
6167;Crimson Skies: High Road to Revenge;http://xbox360media.ign.com/xbox360/image/object/142/14218700/DL-VERS_OUTLINE_Crimson-Skies-CLEAN_XB-Originalsboxart_160h.jpg;Flight;Xbox 360 Xbox;Microsoft;Damage Inc. Pacific Squadron WWII;Dogfight 1942;Ace Combat 6: Fires of Liberation;Need for Speed Most Wanted;Disney Fantasia: Music Evolved;Guacamelee! Super Turbo Championship Edition;Watch Dogs;Diablo III;Borderlands 2
6168;California Games (Disk Version);;Sports;CPC;U.S.;Gary Lineker's Superstar Soccer;Cup Football;Football Manager;The Vindicator;Death Stalker;1942;;;
6169;F/A-18 Intercepter;;Flight;Amiga;Electronic;Megafortress;Mega Fortress;Thunderhawk AH-73M;The Killing Game Show;Monty Python's Flying Circus: The Computer Game;Midwinter;;;
6170;The Seven Cities of Gold;;Adventure;PC 400/800 Amiga Apple-II;Electronic;Thief;Daylight;Murdered: Soul Suspect;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
6171;Gary Lineker's Superstar Soccer;;Sports;ZX CPC C64;DesignStar;European Soccer Challenge;Pro Tennis Simulator;Football Manager;Street Fighter;Animated Strip Poker;PSI-5 Trading Company;;;
6172;Blazing Angels: Squadrons of WWII;http://xboxmedia.ign.com/xbox/image/object/741/741872/682386boxart_160h.jpg;Flight;Xbox Xbox 360 PC PS3 Arcade;Ubisoft;Crimson Skies: High Road to Revenge;Freaky Flyers;Star Wars Starfighter: Special Edition;Crimson Skies: High Road to Revenge;Mortal Kombat: Shaolin Monks;Driver 3;Halo 2;Halo: Combat Evolved;Fable
6173;The Seven Cities of Gold;;Adventure;Apple-II 400/800 Amiga PC;Electronic;Apple Adventure;Mystery House;Lords of Karma;Softporn Adventure;Apple Adventure;Spectre VR;;;
6174;Elektra Glide;;Racing;C64;Mastertronic;Radar Rat Race;Horse Racing;Grand Prix Circuit;Archon: The Light and the Dark;James Bond 007;Ghetto Blaster;;;
6175;Gary Lineker's Superstar Soccer;;Sports;C64 CPC ZX;DesignStar;4th & Inches;WWF WrestleMania;Star League Baseball;Archon: The Light and the Dark;James Bond 007;Ghetto Blaster;;;
6176;Montezuma's Revenge Featuring Panama Joe;http://media.gamestats.com/gg/image/object/006/006051/montezumafrontboxart_160h.jpg;Action;SMS Coleco 400/800 Apple-II C64 5200;Parker;Shinobi [1988];My Hero;Space Harrier 3-D;Alex Kidd in Miracle World;Golden Axe Warrior;Ultima IV;;;
6177;Freaky Flyers;http://xboxmedia.ign.com/xbox/image/object/016/016981/639912boxart_160h.jpg;Flight;Xbox GCN PS2;Midway;Crimson Skies: High Road to Revenge;Blazing Angels: Squadrons of WWII;Star Wars Starfighter: Special Edition;Halo 2;Halo: Combat Evolved;Fable;;;
6178;Guardian;;Flight;CD32 Amiga;Acid;Gunship 2000;Speedball 2: Brutal Deluxe;UFO: Enemy Unknown;Sabre Team;Mean Arenas;;;;
6179;Mario Bros.;http://xbox360media.ign.com/xbox360/image/object/864/864232/Mario-Bros-1_dl2010_Wii-VirtualConsoleboxart_160h.jpg;Action;3DS NES Wii Wii U 5200 Apple-II 2600 Arcade 7800;Nintendo;Kingdom Hearts 3D: Dream Drop Distance;Castlevania: Lords of Shadow -- Mirror of Fate;The Amazing Spider-Man 2;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;;;
6180;Duke Nukem: Total Meltdown;http://pcmedia.ign.com/pc/image/object/855/855427/610946boxart_160h.jpg;Shooter;PC PS;Apogee;Far Cry 4;Wolfenstein: The New Order;Call of Duty: Black Ops II;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
6181;Title Match Pro Wrestling;;Wrestling;2600 7800;Activision;Adventure;Logic Master;Halo 2600;;;;;;
6182;Star Wars Starfighter: Special Edition;http://xboxmedia.ign.com/xbox/image/object/016/016466/615032boxart_160h.jpg;Flight;Xbox PC PS2 Arcade;LucasArts;Crimson Skies: High Road to Revenge;Blazing Angels: Squadrons of WWII;Freaky Flyers;Crimson Skies: High Road to Revenge;Mortal Kombat: Shaolin Monks;Driver 3;Halo 2;Halo: Combat Evolved;Fable
6183;Transfer Student;;Other;PC;JAST;Analogue: A Hate Story;Garry's Mod;BoneTown;Thief;Assassin's Creed III;Resident Evil 6;Far Cry 4;Dark Souls II;Wolfenstein: The New Order
6184;Zork II: The Wizard of Frobozz;;Adventure;PC ST CPC Apple-II Web Amiga C64 Mac MSX2 TRS-80 TI-99;Personal;Thief;Daylight;Murdered: Soul Suspect;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
6185;Centipede;http://media.gamestats.com/gg/image/object/009/009516/Centipede_ATARI2600_cartboxart_160h.jpg;Shooter;2600 WinPhone Xbox 360 GBC Arcade Intv 400/800 GB G.com GBA 7800 5200 TI-99 Coleco SMS iPhone;Atari;Halo 2600;Crash Dive;Beany Bopper;Adventure;Logic Master;Halo 2600;;;
6186;Indiana Jones: Adventure World;http://xbox360media.ign.com/xbox360/image/object/125/125889/Indiana-Jones-Adventure-World_WEBDLboxart_160h.jpg;Adventure;Web;Zynga;Pirate101;Battlestar Galactica Online;Foster's Home for Imaginary Friends;Offensive Combat;Battle Pirates;Outernauts;;;
6187;Zork II: The Wizard of Frobozz;;Adventure;ST PC CPC Apple-II Web Amiga C64 Mac MSX2 TRS-80 TI-99;Infocom;Beyond Zork;Damocles: Mercenary II;Zork III: The Dungeon Master;Xenon;Phantasie II;The New Zealand Story;;;
6188;Garry's Mod;http://assets1.ignimgs.com/2014/04/01/garrys-mod-simplejpg-e320ea_160h.jpg;Other;Mac PC;Valve;The Girls of Paradise Cove;Harry the Handsome Executive;Mathville;Tomb Raider;Tales from the Borderlands;Among the Sleep;;;
6189;Bump 'n' Jump;;Racing;NES Arcade Coleco 2600;Vic;R.C. Pro-Am;Excitebike;Micro Machines;A Boy and His Blob: Trouble on Blobolonia;Qix;Double Dragon III: The Sacred Stones;The Legend of Zelda;Super Mario Bros. 3;Super Mario Bros.
6190;Zork II: The Wizard of Frobozz;;Adventure;CPC PC ST Apple-II Web Amiga C64 Mac MSX2 TRS-80 TI-99;Infocom;Exolon;Advanced Dungeons & Dragons: Heroes of the Lance;The Sentinel;The Vindicator;Death Stalker;1942;;;
6191;Foster's Home for Imaginary Friends;;Adventure;Web;Independent;Adventure World;Pirate101;Battlestar Galactica Online;Offensive Combat;Battle Pirates;Outernauts;;;
6192;Bump 'n' Jump;;Action;Arcade NES Coleco 2600;Data;Dynasty Wars;Space Invaders;Ms. Pac-Man;Tekken 6;1942;Tekken Tag Tournament 2;;;
6193;E.X. Troopers;;Shooter;PS3 3DS;Capcom;Call of Duty: Black Ops II;Borderlands 2;Dust 514;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
6194;Colin McRae Rally 2005;http://media.gamestats.com/gg/image/colinmcrae2005_xboxboxboxart_160h.jpg;Racing;Xbox NNG Mac PS2 Cell PC;Codemasters;Forza Motorsport;Need for Speed Most Wanted [2005];Need for Speed Underground 2;Halo 2;Halo: Combat Evolved;Fable;;;
6195;Zork II: The Wizard of Frobozz;;Adventure;Web PC ST CPC 400/800 Amiga C64 Mac MSX2 TRS-80 TI-99;Infocom;Adventure World;Pirate101;Battlestar Galactica Online;Offensive Combat;Battle Pirates;Outernauts;;;
6196;Bump 'n' Jump;;Racing;2600 NES Arcade Coleco;Telegames;Motocross;Motocross Racer;Motorodeo;Adventure;Logic Master;Halo 2600;;;
6197;Centipede: Infestation;http://ps3media.ign.com/ps3/image/object/106/106554/centipede3ds1boxart_160h.jpg;Shooter;3DS Wii;Atari;E.X. Troopers;Touch Battle Tank 3D;Gradius;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;;;
6198;Trick Soccer;;Sports;PDA;Aim;Summer Games;Speedball 2: Brutal Deluxe;Ultimate Bowling Fighter;Toki Tori;Explode Arena;EverQuest for Pocket PC: War on Faydwer;;;
6199;Colin McRae Rally 2005 (Demo Version);;Sampler;PC;Codemasters;Crysis Wars;Vietcong;Star Trek: Voyager: Elite Force -- Holomatch Demo;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
6200;Fatal Fury Special;http://codesmedia.ign.com/codes/image/object/010/010499/604772boxart_160h.jpg;Fighting;SNES TG16 NG GG Arcade Wii NGCD Xbox 360;SNK;Ultimate Mortal Kombat 3;Street Fighter II Turbo;Mortal Kombat II;Super Mario World;The Legend of Zelda: A Link to the Past;Super Mario Kart;;;
6201;Zork II: The Wizard of Frobozz;;Adventure;Amiga PC ST CPC 400/800 Web C64 Mac MSX2 TRS-80 TI-99;Infocom;ISHAR 2;Chrono Quest;Deja Vu II: Lost in Las Vegas;The Killing Game Show;Monty Python's Flying Circus: The Computer Game;Midwinter;;;
6202;Speedball 2: Brutal Deluxe;;Sports;PDA Amiga PC SMS Gen Cell C64 CD32 ST Palm;Infinite;Summer Games;Trick Soccer;Ultimate Bowling Fighter;Toki Tori;Toki Tori;Explode Arena;EverQuest for Pocket PC: War on Faydwer;;
6203;RealSports Baseball;;Sports;7800 5200 2600;Atari;Ballblazer;Winter Games;Julius Erving vs. Larry Bird One-on-One Basketball;Xevious;Ballblazer;Elevator Action;;;
6204;Fatal Fury Special;http://codesmedia.ign.com/codes/image/object/005/005897/610728boxart_160h.jpg;Fighting;NG SNES TG16 GG Arcade Wii NGCD Xbox 360;Takara;The King of Fighters '99;Last Blade 2: Heart of the Samurai;Samurai Shodown II;The King of Fighters '99;Last Blade 2: Heart of the Samurai;Samurai Shodown II;;;
6205;Zork II: The Wizard of Frobozz;;Adventure;C64 PC ST CPC 400/800 Web Amiga Mac MSX2 TRS-80 TI-99;Infocom;Labyrinth: The Computer Game;Hacker;Alternate Reality: The City;Archon: The Light and the Dark;James Bond 007;Ghetto Blaster;;;
6206;RealSports Baseball;http://codesmedia.ign.com/codes/image/object/005/005104/611084boxart_160h.jpg;Sports;2600 7800 5200;Atari;Football - 4735;Decathlon;Decathlon;Adventure;Logic Master;Halo 2600;;;
6207;Ultimate Bowling Fighter;;Sports;PDA Palm;Astraware;Summer Games;Trick Soccer;Speedball 2: Brutal Deluxe;Toki Tori;Explode Arena;EverQuest for Pocket PC: War on Faydwer;;;
6208;Zork II: The Wizard of Frobozz;;Adventure;Mac PC ST CPC 400/800 Web Amiga C64 MSX2 TRS-80 TI-99;Infocom;Among the Sleep;Oddworld: New 'n' Tasty;The Walking Dead: The Game -- Episode 3: Long Road Ahead;Tomb Raider;Tales from the Borderlands;Among the Sleep;;;
6209;Allan Border's Cricket;;Sports;C64 ST Amiga PC;Audiogenic;4th & Inches;WWF WrestleMania;Star League Baseball;Archon: The Light and the Dark;James Bond 007;Ghetto Blaster;;;
6210;Fatal Fury Special;;Fighting;GG SNES TG16 NG Arcade Wii NGCD Xbox 360;Takara;Mortal Kombat II;Mortal Kombat [1993];Samurai Shodown;Mortal Kombat II;Crystal Warriors;Mortal Kombat [1993];;;
6211;Battlestations: Pacific;;Action;Mac PC Xbox 360;Feral;Tomb Raider;Hotline Miami 2: Wrong Number;Mighty No. 9;Football Manager 2012;WarBirds: Dogfights;Out of the Park Baseball Championship Edition;Tomb Raider;Tales from the Borderlands;Among the Sleep
6212;Allan Border's Cricket;;Sports;Amiga ST C64 PC;Audiogenic;John Madden American Football;John Barnes European Football;Shufflepuck Cafe;The Killing Game Show;Monty Python's Flying Circus: The Computer Game;Midwinter;;;
6213;Zork II: The Wizard of Frobozz;;Adventure;MSX2 PC ST CPC 400/800 Web Amiga C64 Mac TRS-80 TI-99;Infocom;Xak;Zork III: The Dungeon Master;Alien 8;Metal Gear 2: Solid Snake;Metal Gear;Fuzzball;;;
6214;Fatal Fury Special;;Fighting;Arcade SNES TG16 NG Sega-CD Wii NGCD Xbox 360;Takara;Tekken 6;Tekken Tag Tournament 2;Super Street Fighter IV;Tekken 6;1942;Tekken Tag Tournament 2;;;
6215;Allan Border's Cricket;http://pcmedia.ign.com/pc/image/object/854/854137/625571boxart_160h.jpg;Sports;PC ST C64 Amiga;Audiogenic;The Golf Club;FIFA Soccer 13;Pro Evolution Soccer 2013;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
6216;Out of the Park Baseball Championship Edition;;Sports;Mac Linux PC iPhone;Out;FIFA Soccer 12;New Star Soccer 4;Shaun White Snowboarding;Battlestations: Pacific;Football Manager 2012;WarBirds: Dogfights;Tomb Raider;Tales from the Borderlands;Among the Sleep
6217;RealSports Tennis;;Sports;2600 5200;Atari;Football - 4735;Decathlon;Decathlon;Adventure;Logic Master;Halo 2600;;;
6218;Fatal Fury Special;http://xbox360media.ign.com/xbox360/image/object/042/042026/Fatal-Fury-Special_dl2010_Wii-VirtualConsoleboxart_160h.jpg;Fighting;Wii SNES TG16 NG Sega-CD Arcade NGCD Xbox 360;D4;Super Smash Bros. Brawl;Project M;Pokemon Rumble;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;;;
6219;Zork II: The Wizard of Frobozz;;Adventure;TRS-80 PC ST CPC 400/800 Web Amiga C64 Mac MSX2 TI-99;Infocom;Zork III: The Dungeon Master;Zork: The Great Underground Empire;Canyon Climber;Mindblaster;Zork III: The Dungeon Master;;;;
6220;Trevor McFur in the Crescent Galaxy;http://media.gamestats.com/gg/image/object/005/005824/trevormcfur_atarijag_box_orgboxart_160h.jpg;Shooter;Jaguar;Atari;Raiden;Wolfenstein 3-D;Syndicate [1993];Missile Command 3D;Raiden;Super Burnout;;;
6221;Turbo;;Racing;Arcade Coleco;SEGA;The Fast & The Furious SuperBikes;Initial D Arcade Stage 4;Need for Speed Underground;Tekken 6;1942;Tekken Tag Tournament 2;;;
6222;Zork II: The Wizard of Frobozz;;Adventure;TI-99 PC ST CPC 400/800 Web Amiga C64 Mac MSX2 TRS-80;Infocom;Zork I: The Great Underground Empire;Hunt the Wumpus;Midnight Mason;Parsec;A-maze-ing;Car Wars;;;
6223;Fatal Fury Special;;Fighting;NGCD SNES TG16 NG Sega-CD Arcade Wii Xbox 360;SNK;The King of Fighters '97;Double Dragon [1995];Last Blade;The King of Fighters '97;Double Dragon [1995];Last Blade;;;
6224;Wolfenstein 3-D;http://codesmedia.ign.com/codes/image/object/005/005827/629298boxart_160h.jpg;Shooter;Jaguar PC Xbox 360 SNES 3DO iPhone GBA PS3;Atari;Raiden;Trevor McFur in the Crescent Galaxy;Syndicate [1993];Missile Command 3D;Raiden;Super Burnout;;;
6225;Quake II Netpack I: Extremities;http://pcmedia.ign.com/pc/image/quake2netpack_pcboxboxart_160h.jpg;Shooter;PC Mac GP32 N64 PS PC Web PC;Activision;Far Cry 4;Wolfenstein: The New Order;Call of Duty: Black Ops II;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
6226;Skate or Die;;Sports;C64 IIGS PC LCD;Electronic;4th & Inches;WWF WrestleMania;Star League Baseball;Archon: The Light and the Dark;James Bond 007;Ghetto Blaster;;;
6227;Syndicate [1993];http://codesmedia.ign.com/codes/image/object/005/005821/614081boxart_160h.jpg;Shooter;Jaguar PC Mac SNES PC Amiga Gen;Ocean;Raiden;Trevor McFur in the Crescent Galaxy;Wolfenstein 3-D;Missile Command 3D;Raiden;Super Burnout;;;
6228;Fatal Fury Special;http://xbox360media.ign.com/xbox360/image/object/850/850335/XBL_Fatal-Fury-Specialboxart_160h.jpg;Fighting;Xbox 360 SNES TG16 NG Sega-CD Arcade Wii NGCD;SNK;Dead or Alive 5;Injustice: Gods Among Us;Tekken Tag Tournament 2;Watch Dogs;Diablo III;Borderlands 2;;;
6229;Quake II;;Shooter;Mac PC GP32 PC PS PC Web PC;Activision;Tales from the Borderlands;Spec Ops: The Line;The Bureau: XCOM Declassified;Tomb Raider;Tales from the Borderlands;Among the Sleep;;;
6230;Skate or Die;;Sports;PC IIGS C64 LCD;Electronic;The Golf Club;FIFA Soccer 13;Pro Evolution Soccer 2013;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
6231;Manchester United Europe;;Sports;ZX PS2 Xbox Cell PC;Krisalis;European Soccer Challenge;Pro Tennis Simulator;Football Manager;Street Fighter;Animated Strip Poker;PSI-5 Trading Company;;;
6232;Zarlor Mercenary;;Shooter;Lynx;Atari;Raiden;Zaku;Vindicators;Checkered Flag;Shanghai;Toki;;;
6233;Quake II;;Shooter;GP32 PC Mac PC PS PC Web PC;Independent;Doom (1993);Duke Nukem GP;Chex Quest II;Doom (1993);Super Plusha;Yetti;;;
6234;Zaku;;Shooter;Lynx;Super;Raiden;Zarlor Mercenary;Vindicators;Checkered Flag;Shanghai;Toki;;;
6235;Skate or Die;;Sports;LCD IIGS C64 PC;Konami;All Pro Basketball;Head to Head Talking Baseball;Bo Jackson Football & Baseball;All Pro Basketball;The A-Team;Aladdin;;;
6236;Words With Friends;http://wirelessmedia.ign.com/wireless/image/object/082/082025/Words-With-Friends_iPhoneboxart_160h.jpg;Puzzle;iPhone Web Android iPad;Newtoy;Road Not Taken;Angry Birds Space;Angry Birds;Disney Infinity: Marvel Super Heroes -- Toy Box;Tales from the Borderlands;Modern Combat 5;;;
6237;Wings of Fury;http://pocketmedia.ign.com/pocket/image/object/012/012854/635676boxart_160h.jpg;Action;GBC Apple-II Amiga;Mindscape;The Legend of Zelda: Oracle of Seasons;The Legend of Zelda: Oracle of Ages;Batman: Chaos in Gotham;Pokemon Silver Version;Pokemon Gold Version;Pokemon Crystal Version;;;
6238;Vindicators;;Shooter;Lynx NES Arcade LCD;Atari;Raiden;Zarlor Mercenary;Zaku;Checkered Flag;Shanghai;Toki;;;
6239;Wings of Fury;;Flight;Amiga Apple-II GBC;Broderbund;Megafortress;Mega Fortress;F/A-18 Intercepter;Push-Over;Thunderhawk AH-73M;Shufflepuck Cafe;The Killing Game Show;Monty Python's Flying Circus: The Computer Game;Midwinter
6240;Quake II;http://n64media.ign.com/n64/image/object/003/003821/602725boxart_160h.jpg;Shooter;N64 PC Mac GP32 PS PC Web PC;Activision;GoldenEye 007;Doom 64;Perfect Dark;The Legend of Zelda: Ocarina of Time;The Legend of Zelda: Majora's Mask;Super Mario 64;;;
6241;Words With Friends;;Puzzle;Android iPhone Web iPad;Zynga;Angry Birds;Scribblenauts Remix;Puzzle Craft;Magic 2015 -- Duels of the Planewalkers;Oddworld: Stranger's Wrath HD;Fantasica;;;
6242;Skate or Die 2: The Search for Double Trouble;http://media.ign.com/games/image/object/007/007448/skate_or_die_2boxart_160h.jpg;Sports;NES;Electronic;Mike Tyson's Punch-Out!!;Ice Hockey;Blades of Steel;The Legend of Zelda;Super Mario Bros. 3;Super Mario Bros.;;;
6243;Dynacomp Flight Simulator;;Flight;Apple-II;Dynacomp;Wings of Fury;Flight Simulator II;Chuck Yeager's Advanced Flight Trainer;Computer Quarterback;Computer Quarterback: Second Edition;Flight Simulator II;Softporn Adventure;Apple Adventure;Spectre VR
6244;Quake II;http://xboxmedia.ign.com/xbox/image/object/002/002152/quake2_pcboxboxart_160h.jpg;Shooter;PC Mac GP32 N64 N64 PS Web PC;Activision;Far Cry 4;Wolfenstein: The New Order;Call of Duty: Black Ops II;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
6245;Ice Hockey;http://xbox360media.ign.com/xbox360/image/object/864/864214/Ice-Hockey-NES_dl2010_Wii-VirtualConsoleboxart_160h.jpg;Sports;Wii Wii U NES 2600;Nintendo;Wii Sports;Wii Sports Resort;FIFA Soccer 13;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;;;
6246;Bubble Ghost;;Action;GB IIGS;Pony;The Legend of Zelda: Link's Awakening;Metroid II: Return of Samus;Home Alone;Pokemon Blue Version;Pokemon Red Version;Pokemon Yellow: Special Pikachu Edition;;;
6247;Words With Friends HD;http://wirelessmedia.ign.com/wireless/image/object/082/082031/Words-With-Friends_iPADboxart_160h.jpg;Puzzle;iPad iPhone Web Android;Newtoy;The Witness;World of Goo;Plants vs. Zombies HD;The Witness;Magic 2015 -- Duels of the Planewalkers;The Walking Dead: A Telltale Game Series -- Season One;;;
6248;Ice Hockey;http://xbox360media.ign.com/xbox360/image/object/864/864214/Ice-Hockey-NES_dl2010_Wii-VirtualConsoleboxart_160h.jpg;Sports;Wii U Wii NES 2600;Nintendo;Wii Fit U;FIFA Soccer 13;Madden NFL 13;Mario Kart 8;Super Mario 3D World;Batman: Arkham Origins;;;
